2026/03/18	16:54:01	43703e2e-c3d1-457e-ba4a-e7ca7c6cf6cf	/	GET
2026/03/18	16:54:01	584f16aa-32e1-40bc-8654-5c86c806134c	/css/style.css	GET
2026/03/18	16:54:01	5e251037-a89c-4938-852d-8bae4dc09a49	/favicon.ico	GET
2026/03/18	16:55:54	eaa2c754-c08c-4aae-aefe-fd65fc7a1165	/new-page.html	GET
2026/03/18	16:55:54	514e2e09-467c-4dc9-bbdb-d376bb2492c4	/img/img1.jpg	GET
2026/03/18	16:55:54	e8ef1590-d7a1-4d0b-9c6b-9b23c3aa4992	/css/style.css	GET
2026/03/18	16:56:21	95f5cda2-fef4-4fb5-897d-ce413cf93192	/	GET
2026/03/18	16:56:21	a2014092-11b0-4e70-8b15-1bc4b27f87c6	/css/style.css	GET
2026/03/18	16:57:01	98c15c62-b8ea-4081-a7a2-09e1c22df90f	/	GET
2026/03/18	16:57:32	7c32245b-ebe2-49b5-856c-ad185d7c5973	/	GET
2026/03/18	16:57:32	f8ec9769-5312-43af-ac2c-28d68c64694f	/css/style.css	GET
2026/03/18	23:05:28	f9568f2e-6d38-4012-9af3-3ed43f46885d	GET	undefined	/chain123
2026/03/18	23:05:28	7ac7683c-429b-4af3-aba2-5520700b38cf	GET	undefined	/css/style.css
2026/03/18	23:38:55	f6b689f7-3ba9-4bae-902b-58807032592f	GET	undefined	/chain123
2026/03/18	23:38:55	b6d77740-09a6-425f-a848-1be138b6b442	GET	undefined	/css/style.css
2026/03/18	23:38:58	43eddbe7-170c-428f-86c4-d6dae278508e	GET	undefined	/
2026/03/18	23:38:58	eb79f5fe-b2c5-48e0-b2d3-2f20f17baebf	GET	undefined	/css/style.css
2026/03/18	23:39:08	8fc7ba60-0b0f-4829-a10a-ebbed071c1fb	GET	undefined	/subdir
2026/03/18	23:39:29	9015008c-4bab-4b18-bcfe-ac9ba7b21e3a	GET	undefined	/subdir/test
2026/03/18	23:39:38	bded9e2e-9d13-473f-a2dc-8db74ea6b3ce	GET	undefined	/subdir/
2026/03/18	23:39:41	1231435c-5370-40bb-8090-046264b4141a	GET	undefined	/subdir
2026/03/18	23:39:59	de2f1822-bb42-4a84-8721-ba540ed7a60f	GET	undefined	/
2026/03/18	23:39:59	37c16775-6b22-47bd-8152-49f022be39d3	GET	undefined	/css/style.css
2026/03/18	23:50:03	40814a0e-0404-4655-b4ff-3f80aa8ee589	GET	undefined	/
2026/03/18	23:50:03	fd6a409e-2b64-45c7-a8e5-1cdd608c2f8e	GET	undefined	/css/style.css
2026/03/18	23:50:34	e89d6948-52d9-4fba-bb5d-76d9018879eb	GET	undefined	/new-page.html
2026/03/18	23:50:34	b7bd1a04-92c5-4475-b7d4-7049ca3d5914	GET	undefined	/css/style.css
2026/03/18	23:50:34	3344cf33-157a-4c93-9599-117bce2b64ff	GET	undefined	/img/img1.jpg
2026/03/18	23:50:40	446e393f-654c-4c08-a19a-2c17603e4e26	GET	undefined	/
2026/03/18	23:50:40	4eb1df4b-e7f3-4a36-aabc-586a17f908f9	GET	undefined	/css/style.css
2026/03/18	23:50:43	ef022b87-6b2b-4d97-b99a-9d060085b184	GET	undefined	/subdir/
2026/03/18	23:50:48	7a94089c-5c17-41c9-9d4e-497e9e8afd44	GET	undefined	/subdir
2026/03/18	23:50:48	90e42081-ba38-4d51-86db-6ee78ed7e78a	GET	undefined	/subdir/
2026/03/18	23:50:55	ba327f36-b239-4bd2-9e7d-553e44ae2909	GET	undefined	/subdir/test
2026/03/18	23:51:10	744c3311-1977-4a37-b86f-c2588bfe0790	GET	undefined	/subdir/
2026/03/18	23:51:11	9e4ae7ee-33da-4dd7-a6ed-74d396db5846	GET	undefined	/
2026/03/18	23:51:11	c6f66f59-0288-4009-9fa6-4a39611c74e9	GET	undefined	/css/style.css
2026/03/19	00:20:55	4a82b46c-ef97-4d97-8efd-36b7f14ac84f	GET	undefined	/employees
2026/03/19	00:22:38	f4b9a8cf-25a5-4d47-aea2-dcb996a6da68	POST	undefined	/employees
2026/03/19	00:23:37	3403ab42-b64d-4c9b-b4a5-b1c02d7d1eef	POST	undefined	/employees
2026/03/19	00:25:30	0f833af0-be31-4450-8a3a-da9367f3da62	PUT	undefined	/employees
2026/03/19	00:25:47	e0520ec8-c787-48fa-ad84-7b7da09e8777	GET	undefined	/employees/1
